"序号","空间ID","国家地区","空间名称","登记楼层数","进入方式","层间通行","入口X_米","入口Y高度_米","入口Z_米","室内X_米","室内Y高度_米","室内Z_米","各层地板高度_米","宽X_米","高Y_米","深Z_米","游览说明"
"1","fr_haussmann_01","法国 · 巴黎","巴黎旅行书店","4","步行穿过真实门洞","实体楼梯","-145","0.26","-128","-145","0.31","-131","0.26 / 3.66 / 7.06 / 10.46","20","13.6","13","奥斯曼式街屋；木地板、书架、餐桌和法式陈设"
"2","fr_haussmann_02","法国 · 巴黎","塞纳河咖啡馆","4","步行穿过真实门洞","实体楼梯","-122","0.26","-128","-122","0.31","-131","0.26 / 3.66 / 7.06 / 10.46","20","13.6","13","奥斯曼式街屋；木地板、书架、餐桌和法式陈设"
"3","fr_haussmann_03","法国 · 巴黎","巴黎艺术画廊","4","步行穿过真实门洞","实体楼梯","-99","0.26","-128","-99","0.31","-131","0.26 / 3.66 / 7.06 / 10.46","20","13.6","13","奥斯曼式街屋；木地板、书架、餐桌和法式陈设"
"4","fr_haussmann_04","法国 · 巴黎","法式精品旅馆","4","步行穿过真实门洞","实体楼梯","-75","0.26","-128","-75","0.31","-131","0.26 / 3.66 / 7.06 / 10.46","22","13.6","13","奥斯曼式街屋；木地板、书架、餐桌和法式陈设"
"5","fr_haussmann_05","法国 · 巴黎","巴黎花艺工坊","4","步行穿过真实门洞","实体楼梯","-49","0.26","-128","-49","0.31","-131","0.26 / 3.66 / 7.06 / 10.46","21","13.6","13","奥斯曼式街屋；木地板、书架、餐桌和法式陈设"
"6","fr_haussmann_06","法国 · 巴黎","巴黎建筑展馆","4","步行穿过真实门洞","实体楼梯","-29","0.26","-128","-29","0.31","-131","0.26 / 3.66 / 7.06 / 10.46","15","13.6","13","奥斯曼式街屋；木地板、书架、餐桌和法式陈设"
"7","it_street_01","意大利 · 罗马","罗马历史书店","4","步行穿过真实门洞","实体楼梯","42.4","0.23","-130.75","42.4","0.28","-133.75","0.23 / 3.33 / 6.43 / 9.53","12.4","12.4","9.7","罗马灰泥街屋；陶瓦屋顶、木质家具与生活陈设"
"8","it_street_02","意大利 · 罗马","罗马咖啡馆","3","步行穿过真实门洞","实体楼梯","56","0.23","-130.75","56","0.28","-133.75","0.23 / 3.33 / 6.43","12.4","9.3","9.7","罗马灰泥街屋；陶瓦屋顶、木质家具与生活陈设"
"9","it_street_03","意大利 · 罗马","古典雕塑画廊","3","步行穿过真实门洞","实体楼梯","69.6","0.23","-130.75","69.6","0.28","-133.75","0.23 / 3.33 / 6.43","12.4","9.3","9.7","罗马灰泥街屋；陶瓦屋顶、木质家具与生活陈设"
"10","it_street_04","意大利 · 罗马","意式手工艺坊","4","步行穿过真实门洞","实体楼梯","83.2","0.23","-130.75","83.2","0.28","-133.75","0.23 / 3.33 / 6.43 / 9.53","12.4","12.4","9.7","罗马灰泥街屋；陶瓦屋顶、木质家具与生活陈设"
"11","it_street_05","意大利 · 罗马","旅行者旅馆","3","步行穿过真实门洞","实体楼梯","96.8","0.23","-130.75","96.8","0.28","-133.75","0.23 / 3.33 / 6.43","12.4","9.3","9.7","罗马灰泥街屋；陶瓦屋顶、木质家具与生活陈设"
"12","it_street_06","意大利 · 罗马","罗马小餐馆","3","步行穿过真实门洞","实体楼梯","110.4","0.23","-130.75","110.4","0.28","-133.75","0.23 / 3.33 / 6.43","12.4","9.3","9.7","罗马灰泥街屋；陶瓦屋顶、木质家具与生活陈设"
"13","it_street_07","意大利 · 罗马","建筑档案馆","4","步行穿过真实门洞","实体楼梯","124","0.23","-130.75","124","0.28","-133.75","0.23 / 3.33 / 6.43 / 9.53","12.4","12.4","9.7","罗马灰泥街屋；陶瓦屋顶、木质家具与生活陈设"
"14","it_street_08","意大利 · 罗马","特拉维丁石材展厅","3","步行穿过真实门洞","实体楼梯","137.6","0.23","-130.75","137.6","0.28","-133.75","0.23 / 3.33 / 6.43","12.4","9.3","9.7","罗马灰泥街屋；陶瓦屋顶、木质家具与生活陈设"
"15","it_street_09","意大利 · 罗马","意大利美术馆","3","步行穿过真实门洞","实体楼梯","40.75","0.23","-72","37.75","0.28","-72","0.23 / 3.33 / 6.43","10.5","9.3","14","罗马灰泥街屋；陶瓦屋顶、木质家具与生活陈设"
"16","it_street_10","意大利 · 罗马","罗马阅读室","4","步行穿过真实门洞","实体楼梯","40.75","0.23","-92","37.75","0.28","-92","0.23 / 3.33 / 6.43 / 9.53","10.5","12.4","14","罗马灰泥街屋；陶瓦屋顶、木质家具与生活陈设"
"17","it_street_11","意大利 · 罗马","地中海旅馆","3","步行穿过真实门洞","实体楼梯","40.75","0.23","-113","37.75","0.28","-113","0.23 / 3.33 / 6.43","10.5","9.3","14","罗马灰泥街屋；陶瓦屋顶、木质家具与生活陈设"
